Table Name,Status,Action
pwd_import_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_import_sessions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_parents,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_rates,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_snapshots,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_versions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
rate_audit_log,Not in Unified Manager,REVIEW / ADD TO UNIFIED
rate_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
rate_schedules,Not in Unified Manager,REVIEW / ADD TO UNIFIED
rate_versions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
rate_versions_new,Not in Unified Manager,REVIEW / ADD TO UNIFIED
referring,Not in Unified Manager,REVIEW / ADD TO UNIFIED
regional_rates,Not in Unified Manager,REVIEW / ADD TO UNIFIED
role_permissions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
roles,Not in Unified Manager,REVIEW / ADD TO UNIFIED
scenario_bids,Not in Unified Manager,REVIEW / ADD TO UNIFIED
schema_version,Not in Unified Manager,REVIEW / ADD TO UNIFIED
security_audit_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
semantic_search_log,Not in Unified Manager,REVIEW / ADD TO UNIFIED
sequence,Not in Unified Manager,REVIEW / ADD TO UNIFIED
session,Not in Unified Manager,REVIEW / ADD TO UNIFIED
sessions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
settings_change_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
some_table,Not in Unified Manager,REVIEW / ADD TO UNIFIED
span_events,Not in Unified Manager,REVIEW / ADD TO UNIFIED
spans,Not in Unified Manager,REVIEW / ADD TO UNIFIED
statement,Not in Unified Manager,REVIEW / ADD TO UNIFIED
statements,Not in Unified Manager,REVIEW / ADD TO UNIFIED
string,Not in Unified Manager,REVIEW / ADD TO UNIFIED
subscription_payments,Not in Unified Manager,REVIEW / ADD TO UNIFIED
subscription_plans,Not in Unified Manager,REVIEW / ADD TO UNIFIED
subscriptions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
support,Not in Unified Manager,REVIEW / ADD TO UNIFIED
support_tickets,Not in Unified Manager,REVIEW / ADD TO UNIFIED
syntax,Not in Unified Manager,REVIEW / ADD TO UNIFIED
system_config,Not in Unified Manager,REVIEW / ADD TO UNIFIED
system_features,Not in Unified Manager,REVIEW / ADD TO UNIFIED
system_settings,Not in Unified Manager,REVIEW / ADD TO UNIFIED
system_users,Not in Unified Manager,REVIEW / ADD TO UNIFIED
t,Not in Unified Manager,REVIEW / ADD TO UNIFIED
t1,Not in Unified Manager,REVIEW / ADD TO UNIFIED
t2,Not in Unified Manager,REVIEW / ADD TO UNIFIED
table,Not in Unified Manager,REVIEW / ADD TO UNIFIED
table_a,Not in Unified Manager,REVIEW / ADD TO UNIFIED
table_b,Not in Unified Manager,REVIEW / ADD TO UNIFIED
team_activity_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tenants,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_analyses,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_analysis,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_boq_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_documents,Not in Unified Manager,REVIEW / ADD TO UNIFIED
